----------------------------------------------------------------------------------Search Criteria:  Search in: Projects 		AdminIC: All; Project Number (split):2; DA; Fiscal Year: Active Projects ----------------------------------------------------------------------------------Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects),
"DELINEATING THE ROLE OF GENETIC INFLUENCES ON CANNABIS INVOLVEMENT",NIDA,"9249766",2K02DA032573-06,2,K02,DA,032573,06,,,"8773981","AGRAWAL, ARPANA ",Not Applicable,"WASHINGTON UNIVERSITY", ,2017,119134,
"EFFECT OF SEX DIFFERENCES AND CONCURRENT CANNABIS USE ON STRESS-RELATED PSYCHOBIOLOGICAL MECHANISMS ASSOCIATED WITH SMOKING CESSATION AND RELAPSE",NIDA,"9263599",2R01DA027232-05A1,2,R01,DA,027232,05,A1,,"3084839","AL'ABSI, MUSTAFA N.",Not Applicable,"UNIVERSITY OF MINNESOTA", ,2017,397279,
"EXPANDING MEDICATION ASSISTED THERAPY IN UKRAINE (EXMAT)",NIDA,"9411539",2R01DA033679-06,2,R01,DA,033679,06,,,"1870165","ALTICE, FREDERICK LEWIS",Not Applicable,"YALE UNIVERSITY", ,2017,769707,
"IMAGING NEUROMODULATION IN THE BRAIN",NIDA,"9240449",2R37DA031389-06,2,R37,DA,031389,06,,,"7127935","ANDERSON, DAVID J",Not Applicable,"CALIFORNIA INSTITUTE OF TECHNOLOGY", ,2017,400125,
"CUE-TRIGGERED REWARD SEEKING",NIDA,"9306471",2R01DA015188-11A1,2,R01,DA,015188,11,A1,,"1911622","BERRIDGE, KENT C.",Not Applicable,"UNIVERSITY OF MICHIGAN", ,2017,360288,
"MECHANISMS OF SYNCAM-INDUCED SYNAPSE FORMATION",NIDA,"9237558",2R01DA018928-12,2,R01,DA,018928,12,,,"7933850","BIEDERER, THOMAS ",Not Applicable,"TUFTS UNIVERSITY BOSTON", ,2017,340986,
"MODULATING SIGNALING ENDOCANNABINOIDS AND FATTY ACID AMIDES",NIDA,"9205939",2R01DA015648-11,2,R01,DA,015648,11,,,"1865676","BOGER, DALE L",Not Applicable,"SCRIPPS RESEARCH INSTITUTE", ,2017,433125,
"HIV/COCAINE NEUROTOXICITY IN FEMALES",NIDA,"9357776",2R01DA013137-16,2,R01,DA,013137,16,,,"1858933","BOOZE, ROSEMARIE M ","MACTUTUS, CHARLES F.","UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA", ,2017,600321,
"EXTINCTION AND RECOVERY IN ASSOCIATIVE LEARNING",NIDA,"9310872",2R01DA033123-16,2,R01,DA,033123,16,,,"2415465","BOUTON, MARK E",Not Applicable,"UNIVERSITY OF VERMONT & ST AGRIC COLLEGE", ,2017,399131,
"SHORT COURSE ON GENETICS OF ADDICTION",NIDA,"9397852",2R13DA032192-07,2,R13,DA,032192,07,,,"6675436","CHESLER, ELISSA J",Not Applicable,"JACKSON LABORATORY", ,2017,25000,
"IFACS: IMAGING FLORESCENCE ACTIVATED CELL SORTER TO SORT CELLS BASED ON IMAGES",NIDA,"9409931",2R44DA042636-02,2,R44,DA,042636,02,,,"11180638","CHO, SUNG HWAN  ","LO, YU-HWA ","NANOCELLECT BIOMEDICAL, INC.", ,2017,705531,
"BIOMEDICAL RESEARCH TRAINING IN DRUG ABUSE",NIDA,"9278468",2T32DA007261-26,2,T32,DA,007261,26,,,"1891465","CICERO, THEODORE J ","BRUCHAS, MICHAEL R","WASHINGTON UNIVERSITY", ,2017,414672,
