----------------------------------------------------------------------------------Search Criteria:  Search in: Projects 		AdminIC: All; Project Number (split):1; DA; Fiscal Year: Active Projects ----------------------------------------------------------------------------------Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects),
"ASSOCIATIONS OF YOUTH E-CIG AND TOBACCO USE:  ECOLOGICAL MOMENTARY ASSESSMENT",NIDA,"9315521",1R03DA041899-01A1,1,R03,DA,041899,01,A1,,"11465805","ABADI, MELISSA H",Not Applicable,"PACIFIC INSTITUTE FOR RES AND EVALUATION", ,2017,107828,
"PREVENTING INJECTION: AN MHEALTH INTERVENTION THAT LEVERAGES SOCIAL NETWORKS TO PREVENT PROGRESSION TO INJECTION AMONG YOUNG OPIOID USERS",NIDA,"9332834",1R34DA043957-01,1,R34,DA,043957,01,,,"7943236","ACOSTA, MICHELLE C ","GUARINO, HONORIA M","NATIONAL DEVELOPMENT & RES INSTITUTES", ,2017,268625,
"GENETICS OF NOVELTY SEEKING AND PROPENSITY FOR DRUG ABUSE IN OUTBRED RATS",NIDA,"9234690",1U01DA043098-01,1,U01,DA,043098,01,,,"1893999","AKIL, HUDA  ","LI, JUN ","UNIVERSITY OF MICHIGAN", ,2017,694252,
"ADVANCE CARE COORDINATION AND ENHANCED LINKAGE AND RETENTION AMONG TRANSITIONAL RE-ENTRANTS LIVING WITH HEPATITIS C-THE HCV-ACCELERATE TRIAL",NIDA,"9386036",1K99DA043011-01A1,1,K99,DA,043011,01,A1,,"14370019","AKIYAMA, MATTHEW ",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC", ,2017,184734,
"NEXT-GENERATION SEQUENCING CENTER FOR GHOSTING HEPATITIS C VIRUS: TRANSFORMING COMMUNITY BASED MOLECULAR SURVEILLANCE AND OUTBREAK INVESTIGATION",NIDA,"9411341",1U24DA044801-01,1,U24,DA,044801,01,,,"7087449","ALLEN, TODD M",Not Applicable,"MASSACHUSETTS GENERAL HOSPITAL", ,2017,623509,
"MICRO- TO NANOSCALE NEUROCHEMICAL SENSORS",NIDA,"9369813",1R01DA045550-01,1,R01,DA,045550,01,,,"6410957","ANDREWS, ANNE MILASINCIC",Not Applicable,"UNIVERSITY OF CALIFORNIA LOS ANGELES", ,2017,1194494,
"NEUROCOGNITIVE CONSEQUENCES OF ADOLESCENT MARIJUANA USE",NIDA,"9239633",1R01DA040716-01A1,1,R01,DA,040716,01,A1,,"1867290","ANOKHIN, ANDREY P.",Not Applicable,"WASHINGTON UNIVERSITY", ,2017,603528,
"HYPOTHALAMIC NEURONAL CIRCUITS CONTROLLING GOAL-DIRECTED BEHAVIORS",NIDA,"9352061",1ZIADA000595-04,1,ZIA,DA,000595,04,,,"11982679","APONTE MORENO, YEXICA ",Not Applicable,"NATIONAL INSTITUTE ON DRUG ABUSE", ,2016,1198982,
"DEFINING THE ROLE OF CHROMATIN ARCHITECTURE IN CELL FATE INHERITANCE",NIDA,"9164051",1DP2DA043813-01,1,DP2,DA,043813,01,,,"12411671","APOSTOLOU, EFFIE ",Not Applicable,"WEILL MEDICAL COLL OF CORNELL UNIV", ,2016,2542500,
"TARGETING THE CHOLINERGIC PATHWAY IN HIV-ASSOCIATED INFLAMMATION AND COGNITIVE DYSFUNCTION",NIDA,"9413656",1R01DA044906-01,1,R01,DA,044906,01,,,"8950071","ASHARE, REBECCA  ","COLLMAN, RONALD G","UNIVERSITY OF PENNSYLVANIA", ,2017,759622,
"LEVERAGING THE ELECTRONIC HEALTH RECORD TO REDUCE OPIOID ANALGESIC PRESCRIPTIONS",NIDA,"9222886",1K08DA043050-01,1,K08,DA,043050,01,,,"12398431","BACHHUBER, MARCUS A",Not Applicable,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC", ,2017,199260,
