query, wos_id, wos_title, PMID, search_result_rank, solr_score
"Amplichip CYP450",WOS:000242153500033,"Singer, Emily 2006 Amplichip CYP450 TECHNOLOGY REVIEW",NA,1,10.813927
"Amplichip CYP450",WOS:000237916000002,"de Leon, J 2006 AmpliChip CYP450 Test: personalized medicine has arrived in psychiatry EXPERT REVIEW OF MOLECULAR DIAGNOSTICS",16706732,2,6.7436686
"Amplichip CYP450",WOS:000256306500038,"Pepper, Michael Pepper, Michael Pepper, Michael 2007 AmpliChip CYP450 genotype profiling for improving treatment outcomes in psychiatric patients SOUTH AFRICAN JOURNAL OF PSYCHIATRY",NA,3,5.965798
"Amplichip CYP450",WOS:000240957800207,"Liddle, S. Dhomen, Nathalie Lucey, R. Levett, L. J. 2006 Implementation of the AmpliChip CYP450 test in the diagnostic laboratory JOURNAL OF MEDICAL GENETICS",NA,4,5.8401885
"Amplichip CYP450",WOS:000239397100001,"Susce, Margaret T. de Leon, Jose Murray-Carmichael, Elaina 2006 The AmpliChip (TM) CYP450 Genotyping Test - Integrating a new clinical tool MOLECULAR DIAGNOSIS & THERAPY",16771600,5,5.8401885
"Amplichip CYP450",WOS:000239202600005,"Lazaridis, Konstantinos N. Egan, Laurence J. Juran, Brian D. 2006 The AmpliChip CYP450 test: Principles, challenges, and future clinical utility in digestive disease CLINICAL GASTROENTEROLOGY AND HEPATOLOGY",16797246,6,5.506182
"Amplichip CYP450",WOS:000300876800008,"Pulford, Justin Dunbar, Lucy Sheridan, Janie Miles, Wayne Wheeler, Amanda Miles, Wayne Butler, Rachael 2012 Clinician experiences of employing the AmpliChip (R) CYP450 test in routine psychiatric practice JOURNAL OF PSYCHOPHARMACOLOGY",19942639,7,5.1386805
"Amplichip CYP450",WOS:000241347600017,"Luthe, Hilmar Oellerich, Michael Brockmoeller, Juergen Tzvetkov, Mladen Heller, Tanja Kirchheiner, Julia Armstrong, Victor W. 2006 AmpliChip CYP450 GeneChip (R): A new gene chip that allows rapid and accurate CYP2D6 genotyping THERAPEUTIC DRUG MONITORING",17038884,8,4.906739
"Amplichip CYP450",WOS:000237925900164,"Mollenhauer, B. Oellerich, M. Armstrong, V. W. Otto, M. Heller, T. Trenkwalder, C. 2006 Detection of CYP2D6 mutant alleles by AmpliChip CYP450 GeneChip (R) in dementia patients with Lewy Bodies or Parkinson's disease CLINICAL CHEMISTRY",NA,9,4.836135
"Amplichip CYP450",WOS:000237925900163,"Armstrong, V. W. Tvetkov, M. Oellerich, M. Kirchheiner, J. Julia Helle, T. Brockmoeller, J. Luthe, H. 2006 AmpliChip CYP450 GeneChip (R): a new gene chip allows more detailed CYP2D6 genotyping than conventional PCR-RFLP CLINICAL CHEMISTRY",NA,10,4.7684937
"Amplichip CYP450",WOS:000228115500060,"Armstrong, VW Oellerich, M Brockmoller, J Lathe, H Kirchheiner, J Heller, T 2005 Assessment of amplichip CYP450 based CYP2D6-genotyping and phenotype prediction compared to PCR-RFLP-geno-typing and phenotyping by metoprolol pharmacokinetics THERAPEUTIC DRUG MONITORING",NA,11,4.7036133
"Amplichip CYP450",WOS:000297461900018,"Garcia-Solaesa, Virginia Isidoro-Garcia, Maria Isidoro-Garcia, Maria Sanchez, Santiago Gaedigk, Andrea Hernandez, Juanjo 2011 Detection and characterization of the CYP2D6*9x2 gene duplication in two Spanish populations: resolution of AmpliChip CYP450 test no-calls PHARMACOGENOMICS",22044417,12,4.7036133
"Amplichip CYP450",WOS:000262581200004,"Rossier, M. F. Hochstrasser, D. Dayer, P. Chabert, J. Rey, C. Diemand, A. Chiappe, A. Daali, Y. Desmeules, J. Rebsamen, M. C. 2009 The AmpliChip CYP450 test: cytochrome P450 2D6 genotype assessment and phenotype prediction PHARMACOGENOMICS JOURNAL",18591960,13,4.7036133
"Amplichip CYP450",WOS:000340878800002,"Hernandez-Sanchez, Juanjo T. Gaedigk, Andrea Shin, Jae-Gook Jeong, Hye-Eun Gaedigk, Andrea Garcia-Ribera, Carles 2014 Resolution of a clinical AmpliChip CYP450 Test (TM) no call: discovery and characterization of novel CYP2D6*1 haplotypes PHARMACOGENOMICS",25141893,14,4.7036133
"Amplichip CYP450",WOS:000343802200014,"Hernandez-Sanchez, Juanjo Gaedigk, Andrea Shin, Jae-Gook Jeong, Hye-Eun Garcia-Ribera, Carles 2014 Resolution of a clinical AmpliChip CYP450 Test (TM) no call: discovery and characterization of novel CYP2D6*1 haplotypes (vol 15, pg 1175, 2014) PHARMACOGENOMICS",NA,15,4.58142
"Amplichip CYP450",WOS:000337154600014,"Isidoro-Garcia, Maria Davila, Ignacio Gaedigk, Andrea Garcia Solaesa, Virginia Gaedigk, Andrea Riffel, Amanda K. Garcia Berrocal, Belen 2014 Characterization of a complex CYP2D6 genotype that caused an AmpliChip CYP450 Test (R) no-call in the clinical setting CLINICAL CHEMISTRY AND LABORATORY MEDICINE",24445243,16,4.4147673
