pmid_int,wos_id,grant_number,grant_organization,country,Agencies,,
20040391,WOS:000277105100009,X211,University of Buenos Aires,Argentina,1,,
19651893,WOS:000268835300009,461221,Australian National Health and Medical Research Council,Australia,1,,
22067399,WOS:000298141700016,633003,Australian National Health and Medical Research Council,Australia,1,,
19414791,WOS:000265899800056,400489,Australian National Health and Medical Research Council,Australia,1,,
22067399,WOS:000298141700016,402764,Australian National Health and Medical Research Council,Australia,1,,
21926416,WOS:000297242100020,389891,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,389938,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,211172,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,389892,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,241944,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,339462,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,389927,Australian National Health and Medical Research Council (NHMRC),Australia,1,,5
21926416,WOS:000297242100020,496739,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,552485,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,2004-2009,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,566946,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,442915,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,389875,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,107359,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,496610,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21983785,WOS:000296584000016,2004-2009,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,443036,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,402761,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
