wos_id,grant_number,grant_organization,country,agencies
WOS:000278439600054,PICT20433,Agencia Nacional de Promocion Cientifica y Tecnologica,Argentina,1
WOS:000278439600054,PIP6133,Consejo Nacional de Investigaciones Cientificas y Tecnicas,Argentina,2
WOS:000306516400001,FT0991990,Australian Research Council,Australia,1
WOS:000306516400001,DP1093026,Australian Research Council,Australia,1
WOS:000288990100019,05/TPG/1-01,Cancer Institute New South Wales (NSW),Australia,0
WOS:000261726200008,458513,National Health and Medical Research Council,Australia,2
WOS:000270330400013,402577,National Health and Medical Research Council,Australia,2
WOS:000263719700025,400446,National Health and Medical Research Council,Australia,2
WOS:000261726200008,3211912,National Health and Medical Research Council,Australia,2
WOS:000295990400010,510448,National Health and Medical Research Council NHMRC,Australia,2
WOS:000288990100019,402761,National Health and Medical Research Council of Australia,Australia,2
WOS:000259918100004,9937868,The National Health and Medical Research Council,Australia,2
WOS:000259918100004,351541,The National Health and Medical Research Council,Australia,2
WOS:000261112800009,814545/9660/SCK/SAI,Austrian Promotion Agency,Austria,1
WOS:000261112800009,809829/9660KA/SAI,Austrian Promotion Agency,Austria,1
WOS:000260505300005,12565,Jubilaumsfond of the Austrian National Bank,Austria,2
WOS:000266347500006,IUAP P6/40,Belgium State,Belgium,1
WOS:000299153200008,10/15-029,"Foundation Alphonse and Jean Forton, a Concerted Research Action",Belgium,2
WOS:000264451100005,G.0310.02,FWO (Fund for Scientific Research-Flanders),Belgium,3
WOS:000264451100005,G.0320.04,FWO (Fund for Scientific Research-Flanders),Belgium,3
WOS:000290156200020,576627/2008-9,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq),Brazil,1
WOS:000290156200020,PNPD 03021/09-2,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES),Brazil,2
WOS:000278400600015,MOP-84091,Canadian Institute of Health Research,Canada,1
WOS:000281104700011,CIHR MOP-97954,Canadian Institute of Health Research,Canada,1
WOS:000281104700011,CIHR GPG-102171,Canadian Institute of Health Research,Canada,1
WOS:000275413800023,1097737,Canadian Institutes for Health Research,Canada,1
WOS:000265911800050,1097737,Canadian Institutes for Health Research,Canada,1
WOS:000294595900019,230895,Canadian Institutes for Health Research (CIHR),Canada,1
WOS:000261280300020,MOP-79518,Canadian Institutes of Health Research,Canada,1
WOS:000301060800001,MOP-79297,Canadian Institutes of Health Research,Canada,1
WOS:000301060800001,RAA-79918,Canadian Institutes of Health Research,Canada,1
WOS:000297946300040,GPG-102171,Canadian Institutes of Health Research (CIHR),Canada,1
WOS:000275932700012,IG1-14052,Canadian Institutes of Health Research (CIHR),Canada,1
WOS:000297946300040,MOP-97954,Canadian Institutes of Health Research (CIHR),Canada,1
WOS:000275932700012,MOP-74648,Canadian Institutes of Health Research (CIHR),Canada,1
WOS:000310588500002,F508del-CFTR,Canadian Institutes of Health Research (supporting studies of channel function of purified and reconstituted WT-CFTR),Canada,1
WOS:000310588500002,G551D-CFTR,Canadian Institutes of Health Research (supporting studies of channel function of purified and reconstituted WT-CFTR),Canada,1
WOS:000264737700012,CTP-82944,Canadian Institutes of Health Research Team,Canada,1
WOS:000281266800032,RAA-79918,CIHR,Canada,1
WOS:000300709300005,MOP 89853,CIHR,Canada,1
WOS:000285490600014,185189,CIHR,Canada,1
WOS:000281266800032,MOP-79297,CIHR,Canada,1
WOS:000285490600014,MOP-15007,CIHR,Canada,1
WOS:000269616200025,2004-OGI-3-05,Genome Canada through the Ontario Genomics Institute,Canada,2
WOS:000263487300009,01-755,China Medical Board of New York,China,0
WOS:000269220100007,20070420660,China Postdoctoral Science Foundation,China,1
WOS:000292294900060,2007U21083,China Scholarship Council,China,2
WOS:000283548600039,2006AA02A302,Chinese 863 program,China,3
WOS:000283548600039,2006AA02Z334,Chinese 863 program,China,3
WOS:000283548600039,2009AA022707,Chinese 863 program,China,3
WOS:000283548600039,2006AA02Z177,Chinese 863 program,China,3
WOS:000302620900024,NSC 99-2314-B-001-003-MY3,Department of Health of the Republic of China,China,4
WOS:000302620900024,NSC100-2627-B-002-010,Department of Health of the Republic of China,China,4
WOS:000302620900024,NSC100-2325-B-002-062,Department of Health of the Republic of China,China,4
WOS:000302620900024,DOH100-TD-B-111-001,Department of Health of the Republic of China,China,4
WOS:000302620900024,NSC97-3112-B-002-033,Department of Health of the Republic of China,China,4
WOS:000302620900024,NSC98-3112-B-002-031,Department of Health of the Republic of China,China,4
WOS:000302620900024,NSC97-3112-B-002-049,Department of Health of the Republic of China,China,4
WOS:000258761200022,1/04C,Hong Kong Research Grants Committee Central Allocation Scheme,China,0
WOS:000283548600039,2011CB809200,National Basic Research Program of China (973 program),China,3
WOS:000269220100007,2006BAI05A05,National Key Technology RD Program,China,3
WOS:000283548600039,30811130531,National Natural Science Foundation of China,China,5
WOS:000283548600039,30725008,National Natural Science Foundation of China,China,5
WOS:000283548600039,30890032,National Natural Science Foundation of China,China,5
WOS:000283548600039,30221004,National Natural Science Foundation of China,China,5
WOS:000263487300009,30500623,National Natural Scientific Foundation of China,China,5
WOS:000263487300009,30672497,National Natural Scientific Foundation of China,China,5
WOS:000263487300009,30528026,National Natural Scientific Foundation of China,China,5
WOS:000263487300009,30300428,National Natural Scientific Foundation of China,China,5
WOS:000293272100024,06DZ19502,Science and Technology Commission of Shanghai Municipality,China,6
WOS:000269220100007,61444,Shanghai Postdoctoral Science Foundation,China,6
WOS:000283548600039,JC200903190772A,Shenzhen Municipal Government of China,China,6
WOS:000283548600039,ZYC200903240077A,Shenzhen Municipal Government of China,China,6
WOS:000283548600039,ZYC200903240080A,Shenzhen Municipal Government of China,China,6
WOS:000283548600039,JC200903190767A,Shenzhen Municipal Government of China,China,6
WOS:000283548600039,CXB200903110066A,Shenzhen Municipal Government of China,China,6
WOS:000283548600039,ZYC200903240076A,Shenzhen Municipal Government of China,China,6
WOS:000264918700017,10207989,University of Hong Kong,China,0
WOS:000264062400003,MSM6198959216,Czech Ministry of Education,Czechia,1
WOS:000268961100007,MSM6198959216,Czech Ministry of Education,Czechia,1
WOS:000269616200025,VZFNM00064203,Czech Ministry of Health,Czechia,2
