query, wos_id, wos_title, PMID, search_result_rank, solr_score
"botvin gj",WOS:A1983RN17300044,"BOTVIN, GJ BOTVIN, EM BAKER, E 1983 DEVELOPMENTAL-CHANGES IN ATTITUDES TOWARD CIGARETTE SMOKERS DURING EARLY ADOLESCENCE PSYCHOLOGICAL REPORTS",6647702,1,6.0285153
"botvin gj",WOS:A1993KW84100012,"BOTVIN, EM BOTVIN, GJ DUSENBURY, L GOLDBERG, CJ 1993 SMOKING-BEHAVIOR OF ADOLESCENTS EXPOSED TO CIGARETTE ADVERTISING PUBLIC HEALTH REPORTS",8464979,2,5.8758698
"botvin gj",WOS:A1984SR82300003,"FILAZZOLA, AD BAKER, E RENICK, NL BOTVIN, EM BOTVIN, GJ 1984 A COGNITIVE-BEHAVIORAL APPROACH TO SUBSTANCE ABUSE PREVENTION ADDICTIVE BEHAVIORS",6611026,3,5.734262
"botvin gj",WOS:A1992HL02100001,"BOTVIN, GJ GOLDBERG, CJ BAKER, E BOTVIN, EM DUSENBURY, L 1992 CORRELATES AND PREDICTORS OF SMOKING AMONG BLACK-ADOLESCENTS ADDICTIVE BEHAVIORS",1585846,4,5.734262
"botvin gj",WOS:A1997WH83200009,"Botvin, GJ 1997 Preventing adolescent cigarette smoking JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS",9055150,5,5.7268753
"botvin gj",WOS:A1977DY06200008,"MURRAY, FB AMES, GJ BOTVIN, GJ 1977 ACQUISITION OF CONSERVATION THROUGH COGNITIVE-DISSONANCE JOURNAL OF EDUCATIONAL PSYCHOLOGY",NA,6,5.7171226
"botvin gj",WOS:A1997YC97000013,"Epstein, JA Botvin, GJ Diaz, T Baker, E Botvin, EM 1997 Reliability of social and personal competence measures for adolescents PSYCHOLOGICAL REPORTS",9354094,7,5.6024218
"botvin gj",WOS:A1990CL86900005,"FILAZZOLA, AD BOTVIN, GJ BAKER, E BOTVIN, EM 1990 A COGNITIVE-BEHAVIORAL APPROACH TO SUBSTANCE ABUSE PREVENTION - ONE-YEAR FOLLOW-UP ADDICTIVE BEHAVIORS",2316411,8,5.4792767
"botvin gj",WOS:A1992JH13700011,"BOTVIN, GJ BOTVIN, EM 1992 ADOLESCENT TOBACCO, ALCOHOL, AND DRUG-ABUSE - PREVENTION STRATEGIES, EMPIRICAL-FINDINGS, AND ASSESSMENT ISSUES JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS",1506471,9,5.363911
"botvin gj",WOS:A1992HG50500038,"DUSENBURY, L BOTVIN, GJ GOLDBERG, CJ BOTVIN, EM BAKER, E 1992 THE FALSE CONSENSUS EFFECT - PREDICTING ADOLESCENTS TOBACCO USE FROM NORMATIVE EXPECTATIONS PSYCHOLOGICAL REPORTS",1565717,10,5.363911
