ID,Citing Source Item,Cited Source Item Number,DocumentID,Type,ID,DOI,WOS,PMID,Note,Reference,
206,PresComReport,1,373,Article,,,WOS:A1980JA35200026,7350425,,"Porter J, Jick H. 1980, Jan 10. Addiction rare in patients treated with narcotics. N Engl J Med. 302(2):123.",
207,PresComReport,2,325,Article,,,WOS:000402390400016,28564561,,"Leung PTM, Macdonald EM, Stanbrook MB, Dhalla IA, Juurlink DN. 2017, Jun 1. A 1980 Letter on the Risk of Opioid Addiction. N Engl J Med. 376(22):2194-2195.",
208,PresComReport,3,240,Article,,,,2873550,,"Chronic use of opioid analgesics in non-malignant pain: report of 38 cases. Portenoy RK, Foley KM. Pain. 1986 May;25(2):171-86. PMID: 2873550 https://www.ncbi.nlm.nih.gov/pubmed/2873550",
209,PresComReport,4,350,Article,,,WOS:A1990CJ02500001,2296714,,Melzack R. 1990. The tragedy of needless pain. Sci Am. 262(2):27-33.,
210,PresComReport,5,372,Article,,,,1969892,,"Portenoy RK. 1990, Feb. Chronic opioid therapy in nonmalignant pain. J Pain Symptom Manage (1 Suppl):S46-62.",
211,PresComReport,6,343,Article,,,WOS:A1990EK55800012,2240903,,Max MB. Improving outcomes of analgesic treatment: is education enough? Ann Intern Med. 1990;113(11):885- 889.,
212,PresComReport,7,343,Article,,,WOS:A1990EK55800012,2240903,,Max MB. Improving outcomes of analgesic treatment: is education enough? Ann Intern Med. 1990;113(11):885- 889.,
213,PresComReport,8,375,Report,GAO-04-110,,,,,PRESCRIPTION DRUGS OxyContin Abuse and Diversion and Efforts to Address the Problem. Available at https://www.gpo.gov/fdsys/pkg/GAOREPORTS-GAO-04-110/pdf/GAOREPORTS-GAO-04-110.pdf,
214,PresComReport,9,218,Article,,,WOS:A19637859A00001,13971810,,Bloomquist ER. 1963 Aug. The addiction potential of oxycodone (Percodan). Calif Med. 99:127-30.,
215,PresComReport,10,408,Article,,10.2105/AJPH.2007.131714,WOS:000262795100007,18799767,,"Van Zee A. 2009. The promoion and marketing of OxyContin: commercial triumph, public health tragedy. Am. J. Public Health 99:221–27.",
216,PresComReport,11,389,Article,,10.1146/annurev-pharmtox-010617-052534,,28968188,,Skolnick P. The Opioid Epidemic: Crisis and Solutions. Annu Rev Pharmacol Toxicol. 2017 Oct 2. [Epub ahead of print],
217,PresComReport,12,258,Article,,,WOS:000348119200008,25587948,,"Dart RC, Surratt HL, Cicero TJ, Parrino MW, Severtson SG, et al. 2015. Trends in opioid analgesic abuse and mortality in the United States. N. Engl. J. Med. 372:241–48",
218,PresComReport,13,247,Article,,,WOS:000339165200013,24871348,,"Cicero TJ, Ellis MS, Surratt HL, Kurtz SP. 2014. The changing face of heroin use in the United States: a retrospective analysis of the past 50 years. JAMA Psychiatry 71:821–26.",
219,PresComReport,14,405,Website,,,,,,The United States Senate Committee on Finance Website. http://www.finance.senate.gov/chairmans-news/baucusgrassley-seek-diagnosiss-about-opioid-manufacturers-ties-to-medical-groups.,
220,PresComReport,15,326,Article,,,WOS:000396201000030,28114444,,"Lin DH, Lucas E, Murimi IB, Kolodny A, Alexander GC. 2017 Mar 1. Financial Conflicts of Interest and the Centers for Disease Control and Prevention's 2016 Guideline for Prescribing Opioids for Chronic Pain. JAMA Intern Med. 177(3):427-428.",
221,PresComReport,16,248,Article,,,WOS:000208687500007,22287798,,"Cicero TJ, Kurtz SP, Surratt HL, Ibanez GE, Ellis MS, Levi-Minzi MA, Inciardi JA. 2011 spring. Multiple Determinants of Specific Modes of Prescription Opioid Diversion. J Drug Issues. 41(2):283-304.",
222,PresComReport,17,226,Article,,,WOS:A1996UB56000016,,,Campbell JN. APS 1995 Presidential address. Pain Forum. 1996;5:85–8.,
223,PresComReport,18,410,Report,,,,,,Veterans Health Administration. Pain as the 5th Vital Sign Toolkit. 2000. https://www.va.gov/PAINMANAGEMENT/docs/Pain_As_the_5th_Vital_Sign_Toolkit.pdf.,
224,PresComReport,19,370,Article,,,WOS:000088254200005,10904487,,"Phillips DM. 2000, Jul 26. JCAHO pain management standards are unveiled. Joint Commission on Accreditation of Healthcare Organizations. JAMA. 284(4):428-9.",
225,PresComReport,20,211,Article,,,WOS:000396987200013,28241189,,"Baker DW. 2017, Mar 21. History of The Joint Commission's Pain Standards: Lessons for Today's Prescription Opioid Epidemic. JAMA. 317(11):1117-1118.",
226,PresComReport,21,211,Article,,,WOS:000396987200013,28241189,,"Baker DW. 2017, Mar 21. History of The Joint Commission's Pain Standards: Lessons for Today's Prescription Opioid Epidemic. JAMA. 317(11):1117-1118.",
227,PresComReport,22,236,Article,,,WOS:000404717700023,28672310,,"Chhabra N, Leikin JB. 2017, Jul 4. The Joint Commission and the Opioid Epidemic. JAMA. 318(1):91-92.",
228,PresComReport,23,210,Article,,,WOS:000404717700024,28672313,,"Baker DW. 2017, Jul 4. The Joint Commission and the Opioid Epidemic-Reply. JAMA. 318(1):92.",
229,PresComReport,24,306,Report,,,,,,https://www.fsmb.org/Media/Default/PDF/FSMB/Advocacy/1998_grpol_Pain_Management_Guidelines.pdf,
230,PresComReport,25,403,Report,,,,,,The Joint Commission. Pain management. https://www.jointcommission.org/topics/pain_management.aspx. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL,
231,PresComReport,26,408,Article,,10.2105/AJPH.2007.131714,WOS:000262795100007,18799767,,"Van Zee A. 2009. The promotion and marketing of OxyContin: commercial triumph, public health tragedy. Am J Public Health. 99(2):221-227.",
232,PresComReport,27,367,Report,,,,,,"Pain Management and the Opioid Epidemic: Balancing Societal and Individual Benefits and Risks of Prescription Opioid Use, The National Academies Press. http://nationalacademies.org/hmd/Reports/2017/pain-managementand-the-opioid-epidemic.aspx",
