query, wos_id, wos_title, PMID, search_result_rank, solr_score,Select
Porter J Jick H. 1980 Jan 10. Addiction rare in patients treated with narcotics. N Engl J Med. 302(2):123.,WOS:A1980JA35200026,"PORTER, J JICK, H 1980 ADDICTION RARE IN PATIENTS TREATED WITH NARCOTICS NEW ENGLAND JOURNAL OF MEDICINE",7350425,1,19.299572,X
Porter J Jick H. 1980 Jan 10. Addiction rare in patients treated with narcotics. N Engl J Med. 302(2):123.,WOS:A1980JS22200060,"PORTER, J JICK, H 1980 AMOXICILLIN AND AMPICILLIN - RASHES EQUALLY LIKELY LANCET",6103375,2,10.362426,
Leung PTM Macdonald EM Stanbrook MB Dhalla IA Juurlink DN. 2017 Jun 1. A 1980 Letter on the Risk of Opioid Addiction. N Engl J Med. 376(22):2194-2195.,WOS:000402390400016,"Leung, Pamela T. M. Juurlink, David N. Macdonald, Erin M. 2017 A 1980 Letter on the Risk of Opioid Addiction NEW ENGLAND JOURNAL OF MEDICINE",28564561,1,16.69683,X
Leung PTM Macdonald EM Stanbrook MB Dhalla IA Juurlink DN. 2017 Jun 1. A 1980 Letter on the Risk of Opioid Addiction. N Engl J Med. 376(22):2194-2195.,WOS:000294409600005,"Juurlink, David N. Juurlink, David N. Dhalla, Irfan A. Persaud, Navindra Persaud, Navindra Dhalla, Irfan A. Dhalla, Irfan A. Dhalla, Irfan A. Juurlink, David N. Dhalla, Irfan A. Juurlink, David N. Persaud, Navindra 2011 Facing up to the prescription opioid crisis BRITISH MEDICAL JOURNAL",21862533,2,11.368995,
Chronic use of opioid analgesics in non-malignant pain: report of 38 cases. Portenoy RK Foley KM. Pain. 1986 May;25(2):171-86. PMID: 2873550 ,WOS:A1986C669300003,"PORTENOY, RK FOLEY, KM 1986 CHRONIC USE OF OPIOID ANALGESICS IN NONMALIGNANT PAIN - REPORT OF 38 CASES PAIN",2873550,1,28.274347,X
Chronic use of opioid analgesics in non-malignant pain: report of 38 cases. Portenoy RK Foley KM. Pain. 1986 May;25(2):171-86. PMID: 2873550 ,WOS:A1991BU75A00020,"FOLEY, KM PORTENOY, RK 1991 THE ROLE OF OPIOID ANALGESICS IN NEUROPATHIC PAIN LESIONS OF PRIMARY AFFERENT FIBERS AS A TOOL FOR THE STUDY OF CLINICAL PAIN",NA,2,15.7549925,
Melzack R. 1990. The tragedy of needless pain. Sci Am. 262(2):27-33.,WOS:A1990CJ02500001,"MELZACK, R 1990 THE TRAGEDY OF NEEDLESS PAIN SCIENTIFIC AMERICAN",2296714,1,17.573652,X
Melzack R. 1990. The tragedy of needless pain. Sci Am. 262(2):27-33.,WOS:A1987J836400005,"MELZACK, R 1987 THE SHORT-FORM MCGILL PAIN QUESTIONNAIRE PAIN",3670870,2,8.988762,
Portenoy RK. 1990 Feb. Chronic opioid therapy in nonmalignant pain. J Pain Symptom Manage (1 Suppl):S46-62.,WOS:A1996UC24700002,"Portenoy, RK 1996 Opioid therapy for chronic nonmalignant pain: A review of the critical issues JOURNAL OF PAIN AND SYMPTOM MANAGEMENT",8869456,1,17.52632,
Portenoy RK. 1990 Feb. Chronic opioid therapy in nonmalignant pain. J Pain Symptom Manage (1 Suppl):S46-62.,WOS:A1996WZ61700007,"Portenoy, RK 1996 Opioid therapy for chronic nonmalignant pain: Clinicians' perspective JOURNAL OF LAW MEDICINE & ETHICS",9180514,2,16.494186,
PRESCRIPTION DRUGS OxyContin Abuse and Diversion and Efforts to Address the Problem. Available at https://www.gpo.gov/fdsys/pkg/GAOREPORTS-GAO-04-110/pdf/GAOREPORTS-GAO-04-110.pdf,WOS:000225884000080,"Ferreira, U 2004 On the busy-beaver problem MSV'04 & AMCS'04, PROCEEDINGS",NA,1,10.236934,
PRESCRIPTION DRUGS OxyContin Abuse and Diversion and Efforts to Address the Problem. Available at https://www.gpo.gov/fdsys/pkg/GAOREPORTS-GAO-04-110/pdf/GAOREPORTS-GAO-04-110.pdf,WOS:000226301600007,"Gao, S Kvan, T 2004 An analysis of problem framing in multiple settings DESIGN COMPUTING AND COGNITION '04",NA,2,10.217568,
Bloomquist ER. 1963 Aug. The addiction potential of oxycodone (Percodan). Calif Med. 99:127-30.,WOS:A19637859A00001,"BLOOMQUIST, ERA 1963 ADDICTION POTENTIAL OF OXYCODONE (PERCODAN) CALIFORNIA MEDICINE",13971810,1,20.307558,X
Bloomquist ER. 1963 Aug. The addiction potential of oxycodone (Percodan). Calif Med. 99:127-30.,WOS:A1959WL73500004,"BLOOMQUIST, ER 1959 ADDICTION, ADDICTING DRUGS, AND THE ANESTHESIOLOGIST JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",13801637,2,8.120125,
Van Zee A. 2009. The promoion and marketing of OxyContin: commercial triumph public health tragedy. Am. J. Public Health 99:221-27.,WOS:000262795100007,"Zee, Art Van 2009 The Promotion and Marketing of OxyContin: Commercial Triumph, Public Health Tragedy AMERICAN JOURNAL OF PUBLIC HEALTH",NA,1,24.175615,X
Van Zee A. 2009. The promoion and marketing of OxyContin: commercial triumph public health tragedy. Am. J. Public Health 99:221-27.,WOS:000270634600012,"Lowry, Ray J. 2009 Public Health Branding - applying marketing for social change PUBLIC HEALTH",NA,2,12.61334,
Skolnick P. The Opioid Epidemic: Crisis and Solutions. Annu Rev Pharmacol Toxicol. 2017 ,WOS:000398139700001,"Balon, Richard 2017 The opioid epidemic and us ANNALS OF CLINICAL PSYCHIATRY",28207911,1,7.4751554,
Skolnick P. The Opioid Epidemic: Crisis and Solutions. Annu Rev Pharmacol Toxicol. 2017 ,WOS:000406694900002,"Terplan, Mishka Terplan, Mishka 2017 Women and the opioid crisis: historical context and public health solutions FERTILITY AND STERILITY",28697909,2,7.429108,
