No,doi-1,doi-2,cc_frequency,pub1_msa,pub2_msa,pub1_title,pub2_title,pub1_authors,pub2_authors,dc
1,10.1103/PhysRevB.10.676,10.1103/PhysRevB.4.1211,132,Physics and Astronomy,Physics and Astronomy,Fundamental energy gap of gan from photoluminescence excitation spectra,"Absorption, reflectance, and luminescence of GaN epitaxial layers","Monemar B., Monemar B., Monemar B., Monemar B.","Dingle R., Ilegems M., Stokowski S.E., Sell D.D.",1
2,10.1016/0020-0190(78)90067-4,10.1007/3-540-09519-5_73,139,"Computer Science, Computer Science","Mathematics, Computer Science",A probabilistic remark on algebraic program testing,Probabilistic algorithms for sparse polynomials,"Lipton R.J., Demillo R.A.","Zippel R., Zippel R.",0
3,10.1016/0020-0190(78)90067-4,10.1145/322217.322225,161,"Computer Science, Computer Science, Computer Science, Computer Science, Computer Science","Computer Science, Engineering, Computer Science, Computer Science, Computer Science",A probabilistic remark on algebraic program testing,Fast Probabilistic Algorithms for Verification of Polynomial Identities,"Lipton R.J., Demillo R.A.","Schwartz J.T., Schwartz J.T.",0
4,10.1007/BF01908075,10.1109/TPAMI.1979.4766909,147,"Social Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Psychology, Psychology, Psychology, Psychology, Psychology, Social Sciences, Social Sciences, Social Sciences, Social Sciences","Computer Science, Computer Science, Computer Science, Computer Science, Computer Science, Mathematics, Computer Science, Computer Science, Computer Science, Computer Science, Mathematics, Computer Science, Computer Science, Computer Science, Computer Science, Mathematics, Computer Science, Computer Science, Computer Science, Mathematics",Comparing partitions,A Cluster Separation Measure,"Hubert L., Arabie P., Hubert L., Arabie P.","Bouldin D.W., Bouldin D.W., Davies D.L., Davies D.L.",0
5,10.1007/BF00310707,10.1144/GSL.SP.1989.042.01.19,103,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Environmental Science, Environmental Science, Engineering, Earth and Planetary Sciences, Engineering, Earth and Planetary Sciences",Phase equilibria and melt productivity in the pelitic system: implications for the origin of peraluminous granitoids and aluminous granulites,Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Johnston A.D., Patino Douce A.E., Johnston A.D., Patino Douce A.E.","Sun S.-S., Sun S.-S., McDonough W.F., McDonough W.F.",0
6,10.1016/0165-0114(86)90077-1,10.1016/S0165-0114(86)80034-3,179,"Mathematics, Mathematics, Mathematics, Computer Science, Computer Science, Mathematics, Mathematics, Computer Science, Computer Science, Computer Science, Computer Science, Mathematics, Mathematics, Computer Science","Decision Sciences, Computer Science, Mathematics, Computer Science, Computer Science, Computer Science, Computer Science, Decision Sciences, Decision Sciences, Engineering, Mathematics, Engineering, Decision Sciences, Computer Science",Interval valued fuzzy sets based on normal forms,Intuitionistic fuzzy sets,Turksen I.B.,Atanassov K.T.,0
7,10.1007/BF01645742,10.1007/BF01208266,141,"Physics and Astronomy, Mathematics, Physics and Astronomy, Physics and Astronomy, Mathematics, Physics and Astronomy","Physics and Astronomy, Mathematics, Physics and Astronomy, Mathematics, Physics and Astronomy, Mathematics",The four laws of black hole mechanics,Thermodynamics of black holes in anti-de Sitter space,"Hawking S.W., Bardeen J.M., Carter B., Hawking S.W., Bardeen J.M., Carter B.","Hawking S.W., Hawking S.W., Hawking S.W., Page D.N., Page D.N., Page D.N.",1
8,10.1016/0550-3213(79)90192-5,10.1016/0370-2693(83)90170-3,173,Physics and Astronomy,Physics and Astronomy,A new six-dimensional approach to the Weinberg-Salam model,Dynamical mass generation by compact extra dimensions,Manton N.S.,Hosotani Y.,1
9,10.1007/BF01415558,10.1103/PhysRevLett.44.912,455,Physics and Astronomy,Physics and Astronomy,See-saw neutrino masses induced by a triplet of leptons,Neutrino mass and spontaneous parity nonconservation,"He X.-G., Foot R., Lew H., Joshi G.C., He X.-G., Foot R., Lew H., Joshi G.C.","Senjanovic G., Senjanovic G., Senjanovic G., Senjanovic G., Mohapatra R.N., Mohapatra R.N., Mohapatra R.N., Mohapatra R.N.",0
10,10.1007/BF01415558,10.1103/PhysRevD.23.165,371,"Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",See-saw neutrino masses induced by a triplet of leptons,Neutrino masses and mixings in gauge models with spontaneous parity violation,"He X.-G., Foot R., Lew H., Joshi G.C., He X.-G., Foot R., Lew H., Joshi G.C.","Senjanovic G., Senjanovic G., Senjanovic G., Senjanovic G., Mohapatra R.N., Mohapatra R.N., Mohapatra R.N., Mohapatra R.N.",0
11,10.1016/0047-2727(73)90013-3,10.2307/1882010,304,"Economics, Econometrics and Finance, Economics, Econometrics and Finance","Economics, Econometrics and Finance, Economics, Econometrics and Finance",Higher education as a filter,Job market signaling,Arrow K.J.,Spence M.,0
12,10.1016/0047-2727(76)90014-1,10.2307/2296698,227,"Economics, Econometrics and Finance, Economics, Econometrics and Finance","Economics, Econometrics and Finance, Economics, Econometrics and Finance",Effluent charges and licenses under uncertainty,Prices vs. Quantities,"Spence M., Roberts M.J.","Weitzman M.L., Weitzman M.L.",0
13,10.1063/1.443164,10.1063/1.438980,298,"Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry","Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry",A full coupled-cluster singles and doubles model: The inclusion of disconnected triples,"Contracted Gaussian basis sets for molecular calculations. I. Second row atoms, Z=11-18","Bartlett R.J., Purvis III G.D., Bartlett R.J., Purvis III G.D.","Chandler G.S., Chandler G.S., McLean A.D., McLean A.D.",0
14,10.1111/j.1540-6261.1973.tb01415.x,10.1111/j.1540-6261.1984.tb03646.x,205,"Business, Management and Accounting, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Business, Management and Accounting, Business, Management and Accounting","Economics, Econometrics and Finance, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Business, Management and Accounting, Economics, Econometrics and Finance, Economics, Econometrics and Finance, Business, Management and Accounting, Economics, Econometrics and Finance, Business, Management and Accounting",A STATE‐PREFERENCE MODEL OF OPTIMAL FINANCIAL LEVERAGE,The Capital Structure Puzzle,"Litzenberger R.H., Kraus A.","MYERS S.C., MYERS S.C.",0
15,10.1016/0550-3213(73)90622-6,10.1103/PhysRevD.10.1823,126,Physics and Astronomy,Physics and Astronomy,Interacting-string picture of dual-resonance models,Field theory of relativistic strings. II. Loops and Pomerons,"Mandelstam S., Mandelstam S.","Kikkawa K., Kaku M.",0
16,10.1016/0038-0717(87)90037-X,10.1016/0003-2697(87)90612-9,182,"Immunology and Microbiology, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Immunology and Microbiology, Agricultural and Biological Sciences, Immunology and Microbiology, Agricultural and Biological Sciences, Immunology and Microbiology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Microbial cyanide production in the rhizosphere in relation to potato yield reduction and Pseudomonas SPP-mediated plant growth-stimulation,Universal chemical assay for the detection and determination of siderophores,"Schippers B., Bakker A.W., Schippers B., Bakker A.W.","Schwyn B., Schwyn B., Neilands J.B., Neilands J.B.",0
17,10.1080/01621459.1987.10478441,10.1093/biomet/70.1.41,221,"Mathematics, Mathematics, Mathematics, Mathematics, Mathematics, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Mathematics","Agricultural and Biological Sciences, Mathematics, Mathematics, Decision Sciences, Agricultural and Biological Sciences, Mathematics, Mathematics, Mathematics, Decision Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Mathematics",Model-based direct adjustment,The central role of the propensity score in observational studies for causal effects,"Rosenbaum P.R., Rosenbaum P.R.","Rosenbaum P.R., Rubin D.B.",1
