query, wos_id, wos_title, PMID, search_result_rank, solr_score
"M. Schena D. Shalon R.W. Davis P.O. Brown "Quantitative monitoring of gene-expression patterns with a complementary-DNA microarray" Science 270:467-70 Oct. 20 1995. ",WOS:A1995TA37400041,"SHALON, D DAVIS, RW SCHENA, M BROWN, PO 1995 QUANTITATIVE MONITORING OF GENE-EXPRESSION PATTERNS WITH A COMPLEMENTARY-DNA MICROARRAY SCIENCE",7569999,1,28.664036
"M. Schena D. Shalon R.W. Davis P.O. Brown "Quantitative monitoring of gene-expression patterns with a complementary-DNA microarray" Science 270:467-70 Oct. 20 1995. ",WOS:A1996VL33300017,"Davis, RW Brown, PO Chai, A Heller, R Shalon, D Schena, M 1996 Parallel human genome analysis: Microarray-based expression monitoring of 1000 genes PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",8855227,2,14.337493
"M. Schena D. Shalon R. Heller A. Chai P.O. Brown R.W. Davis "Parallel human genome analysis: Microarray-based expression monitoring of 1000 genes" Proc Natl Acad Sci 93:10614-9 Oct. 1 1996. ",WOS:A1996VL33300017,"Davis, RW Brown, PO Chai, A Heller, R Shalon, D Schena, M 1996 Parallel human genome analysis: Microarray-based expression monitoring of 1000 genes PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",8855227,1,25.978447
"M. Schena D. Shalon R. Heller A. Chai P.O. Brown R.W. Davis "Parallel human genome analysis: Microarray-based expression monitoring of 1000 genes" Proc Natl Acad Sci 93:10614-9 Oct. 1 1996. ",WOS:A1995TA37400041,"SHALON, D DAVIS, RW SCHENA, M BROWN, PO 1995 QUANTITATIVE MONITORING OF GENE-EXPRESSION PATTERNS WITH A COMPLEMENTARY-DNA MICROARRAY SCIENCE",7569999,2,18.667646
"J. DeRisi L. Penland P.O. Brown M.L. Bittner P.S. Meltzer M. Ray Y.D. Chen Y.A. Su J.M. Trent "Use of a cDNA microarray to analyse gene expression patterns in human cancer" Nat Genet 14:457-60 December 1996. ",WOS:A1996VV73000022,"Brown, PO DeRisi, J Meltzer, PS Bittner, ML Ray, M Trent, JM Su, YA Penland, L Chen, YD 1996 Use of a cDNA microarray to analyse gene expression patterns in human cancer NATURE GENETICS",8944026,1,35.839954
"J. DeRisi L. Penland P.O. Brown M.L. Bittner P.S. Meltzer M. Ray Y.D. Chen Y.A. Su J.M. Trent "Use of a cDNA microarray to analyse gene expression patterns in human cancer" Nat Genet 14:457-60 December 1996. ",WOS:000077190800010,"Hoffman, T Chen, YD Meltzer, PS Trent, JM Bittner, M Heiskanen, M 1998 Use of cDNA microarrays to assess DNA gene expression patterns in cancer BIOLOGY OF TUMORS",NA,2,20.010962
"D.J. Lockhart H.L. Dong M.C. Byrne M.T. Follettie M.V. Gallo M.S. Chee M. Mittmann C.W. Wang M. Kobayashi H. Horton E.L. Brown "Expression monitoring by hybridization to high-density oligonucleotide arrays" Nat Biotechnol 14:1675-80 December 1996. ",WOS:A1996VX10700028,"Byrne, MC Follettie, MT Kobayashi, M Horton, H Lockhart, DJ Dong, HL Gallo, MV Chee, MS Brown, EL Mittmann, M Wang, CW 1996 Expression monitoring by hybridization to high-density oligonucleotide arrays NATURE BIOTECHNOLOGY",9634850,1,39.157295
"D.J. Lockhart H.L. Dong M.C. Byrne M.T. Follettie M.V. Gallo M.S. Chee M. Mittmann C.W. Wang M. Kobayashi H. Horton E.L. Brown "Expression monitoring by hybridization to high-density oligonucleotide arrays" Nat Biotechnol 14:1675-80 December 1996. ",WOS:A1997YK36100026,"Wodicka, L Dong, HL Mittmann, M Ho, MH Lockhart, DJ 1997 Genome-wide expression monitoring in Saccharomyces cerevisiae NATURE BIOTECHNOLOGY",9415887,2,13.634167
"J.L. DeRisi V.R. Iyer P.O. Brown "Exploring the metabolic and genetic control of gene expression on a genomic scale" Science 278:680-6 Oct. 24 1997. ",WOS:A1997YC32300053,"Iyer, VR DeRisi, JL Brown, PO 1997 Exploring the metabolic and genetic control of gene expression on a genomic scale SCIENCE",9381177,1,26.899137
"J.L. DeRisi V.R. Iyer P.O. Brown "Exploring the metabolic and genetic control of gene expression on a genomic scale" Science 278:680-6 Oct. 24 1997. ",WOS:A1997YJ45600066,"Gentile, C Lashkari, DA DeRisi, JL Davis, RW Brown, PO Hwang, SY McCusker, JH Namath, AF 1997 Yeast microarrays for genome wide parallel genetic and gene expression analysis PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",9371799,2,10.0304165
