query, wos_id, wos_title, PMID, search_result_rank, solr_score
"Kline SJ Rosenberg N: An Overview of Innovation. In The Positive Sum Strategy: Harnessing Technology for Economic Growth Edited by: Landau R Rosenberg N. Washington D.C.: The National AcademyPress; 1986:275306.",WOS:A1986E404200033,"LEVIN, RC 1986 THE POSITIVE SUM STRATEGY - HARNESSING TECHNOLOGY FOR ECONOMIC-GROWTH - LANDAU,R, ROSENBERG,N SCIENCE",17792021,1,24.19375
"Kline SJ Rosenberg N: An Overview of Innovation. In The Positive Sum Strategy: Harnessing Technology for Economic Growth Edited by: Landau R Rosenberg N. Washington D.C.: The National AcademyPress; 1986:275306.",WOS:A1988M695300043,"LINK, AN 1988 THE POSITIVE SUM STRATEGY - HARNESSING TECHNOLOGY FOR ECONOMIC-GROWTH - LANDAU,R, ROSENBERG,N TECHNOLOGY AND CULTURE",NA,2,23.060915
"von Hippel E: The Sources of Innovation Oxford: Oxford University Press; 1988.",WOS:000231410400008,"Hiddleston, E 2005 Timothy O'Connor, 'Persons and Causes' (Oxford: Oxford University Press, 2000) NOUS",NA,1,11.630044
"von Hippel E: The Sources of Innovation Oxford: Oxford University Press; 1988.",WOS:000079980100090,"Salzman, E 1999 'To Oxford University Press, In Hospital' POETRY REVIEW",NA,2,10.970196
"Jaffe AB: Real Effects of Academic Research. The American Economic Review 1989 79(5):957970.",WOS:A1989CD48800001,"JAFFE, AB 1989 REAL EFFECTS OF ACADEMIC RESEARCH AMERICAN ECONOMIC REVIEW",NA,1,18.022623
"Jaffe AB: Real Effects of Academic Research. The American Economic Review 1989 79(5):957970.",WOS:A1992HH80900026,"FELDMAN, MP ACS, ZJ AUDRETSCH, DB 1992 REAL EFFECTS OF ACADEMIC RESEARCH - COMMENT AMERICAN ECONOMIC REVIEW",NA,2,9.57698
"Jaffe AB Trajtenberg M: Flows of Knowledge from Universities and Federal Laboratories: Modeling the Flow of Patent Citations over Time and Across Institutional and Geographic Boundaries. Proceedings of the National Academy of Sciences USA 1996 93:1267112677.",WOS:A1996VT05400004,"Jaffe, AB Trajtenberg, M 1996 Flows of knowledge from universities and federal laboratories: Modeling the flow of patent citations over time and across institutional and geographic boundaries PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",8917478,1,33.4666
"Jaffe AB Trajtenberg M: Flows of Knowledge from Universities and Federal Laboratories: Modeling the Flow of Patent Citations over Time and Across Institutional and Geographic Boundaries. Proceedings of the National Academy of Sciences USA 1996 93:1267112677.",WOS:A1993LV00700002,"TRAJTENBERG, M HENDERSON, R JAFFE, AB 1993 GEOGRAPHIC LOCALIZATION OF KNOWLEDGE SPILLOVERS AS EVIDENCED BY PATENT CITATIONS QUARTERLY JOURNAL OF ECONOMICS",NA,2,16.873177
"Trajtenberg M Henderson R Jaffe AB: Universities as a Source of Commercial Technology: A Detailed Analysis of University Patenting 19651988. Review of Economics and Statistics 1998 80(1):119127.",WOS:000072057000011,"Jaffe, AB Trajtenberg, M Henderson, R 1998 Universities as a source of commercial technology: A detailed analysis of university patenting, 1965-1988 REVIEW OF ECONOMICS AND STATISTICS",NA,1,28.467905
"Trajtenberg M Henderson R Jaffe AB: Universities as a Source of Commercial Technology: A Detailed Analysis of University Patenting 19651988. Review of Economics and Statistics 1998 80(1):119127.",WOS:A1993LV00700002,"TRAJTENBERG, M HENDERSON, R JAFFE, AB 1993 GEOGRAPHIC LOCALIZATION OF KNOWLEDGE SPILLOVERS AS EVIDENCED BY PATENT CITATIONS QUARTERLY JOURNAL OF ECONOMICS",NA,2,13.579914
