wos_id,pmid
WOS:000213838300004,21955532
WOS:000213838300008,21955536
WOS:000213302800004,21955822
WOS:000218662100001,21957378
WOS:000219084400006,21957404
WOS:000219084400028,21957426
WOS:000415514300007,21957952
WOS:000421292300009,21959637
WOS:000420226300002,21960752
WOS:000420226300006,21960756
WOS:000421292600006,21963926
WOS:000421292600008,21963928
WOS:000421293600006,21964011
WOS:000421293600015,21964020
WOS:000217486600002,21966101
WOS:000217486600011,21966110
WOS:000219244600009,21966158
WOS:000219244600021,21966170
WOS:000210411200064,21966220
WOS:000213893100036,21966228
WOS:000215402400002,21966303
WOS:000215402400009,21966310
WOS:000416668100021,21966332
WOS:000219141600001,21966615
WOS:000219155800003,21966635
WOS:000215041000061,21967669
WOS:000218337100007,21968608
WOS:000219377200008,21971637
WOS:000211349200005,21973068
WOS:000218999200004,21976113
WOS:000218580400012,21976876
WOS:000218580400019,21976883
WOS:000218580400026,21976890
WOS:000218580400028,21976892
WOS:000219165600007,21977084
WOS:000219165600030,21977107
WOS:000217144600010,21977253
WOS:000217147100001,21977262
WOS:000217147100005,21977266
WOS:000217158500003,21977297
WOS:000213644000006,21977727
WOS:000415515400014,21977963
WOS:000217471100002,21980310
WOS:000420396600003,21980798
WOS:000421524200002,21983904
WOS:000212530400007,21992023
WOS:000420845200005,21993705
WOS:000420845200007,21993707
WOS:000215041000066,21996461
WOS:000218855000011,21999086
WOS:000214597800004,22002440
WOS:000216959300018,22013262
WOS:000219059400003,22013370
WOS:000213700800012,22014913
WOS:000213700800014,22014915
WOS:000421294600016,22016173
WOS:000421294600022,22016179
WOS:000217884000060,22016724
WOS:000218597100003,22022051
WOS:000218597100009,22022057
WOS:000218597100025,22022073
WOS:000218577600002,22022161
WOS:000214919600009,22022204
WOS:000217884000065,22022310
WOS:000408898100007,22025852
WOS:000408898100013,22025858
WOS:000213693700004,22027034
WOS:000213697500003,22027203
WOS:000214846000086,22028684
WOS:000212136100006,22029768
WOS:000219318800001,22033385
WOS:000215816800225,22034559
WOS:000215816800232,22034566
WOS:000217049500004,22035390
WOS:000217049500012,22035398
WOS:000217048100015,22035491
WOS:000219377200012,22038313
WOS:000210468300019,22040017
WOS:000416352800016,22041047
WOS:000214012300011,22041935
WOS:000296612400017,22041966
WOS:000212714400007,22043205
WOS:000212714400014,22043212
WOS:000409033900023,22046787
WOS:000420825800004,22047481
WOS:000420825800010,22047487
WOS:000219877400004,22049276
WOS:000210464800014,22051099
WOS:000219193900004,22053253
WOS:000422559100005,22053293
WOS:000422559800005,22053301
WOS:000214012300025,22057325
WOS:000214012300033,22057329
WOS:000216902100014,22059073
WOS:000216611300007,22059789
WOS:000213627300005,22062794
WOS:000213958100008,22066518
WOS:000213305300001,22068361
WOS:000213305300007,22068363
WOS:000209984600010,22069344
WOS:000215816800246,22069355
WOS:000213852900096,22069371
WOS:000421075600001,22069438
WOS:000210868400005,22070362
WOS:000421294900010,22072168
WOS:000213843000011,22072254
WOS:000216942700005,22076199
WOS:000216943900002,22076207
WOS:000216944900007,22076223
WOS:000219837700003,22081272
WOS:000214408800008,22082327
WOS:000217588500001,22083689
WOS:000219341600013,22084545
WOS:000215560900014,22084570
WOS:000213993700011,22084592
WOS:000215704400012,22084615
WOS:000215723800007,22084617
WOS:000215744000027,22084620
WOS:000212982100004,22084996
WOS:000212982100009,22085001
WOS:000212982100013,22085005
WOS:000212605400006,22085397
WOS:000214424300029,22085469
WOS:000421294200004,22087519
WOS:000421380800004,22089070
WOS:000219103900025,22089791
WOS:000219103900038,22089803
WOS:000215612800001,22096348
WOS:000215613900010,22096373
WOS:000213857300008,22096409
WOS:000213857300011,22096412
WOS:000219372600001,22096665
WOS:000219444100003,22096678
WOS:000219452600001,22096685
WOS:000219454400005,22096694
WOS:000219454400017,22096706
WOS:000219455300008,22096724
WOS:000421843000002,22099008
WOS:000215404300002,22099914
WOS:000214012600026,22101347
WOS:000409038000004,22104308
WOS:000218341500009,22105745
WOS:000218559000009,22108067
WOS:000214385800007,22109796
WOS:000214389200004,22109905
WOS:000214389200007,22109907
WOS:000212459000008,22110000
WOS:000420592200008,22110884
WOS:000214692400011,22112536
WOS:000216280100014,22113337
WOS:000218654000009,22114392
WOS:000218654000017,22114400
WOS:000218657600012,22114431
WOS:000218657600023,22114442
WOS:000218659300010,22114453
WOS:000218286900003,22122388
WOS:000214918000025,22122964
WOS:000420432400004,22135597
WOS:000210411200075,22140313
WOS:000210411200082,22140320
WOS:000214356100042,22140322
WOS:000214356100046,22140326
WOS:000421295600013,22143859
WOS:000219085800024,22144942
WOS:000217884000071,22144951
WOS:000215734000005,22146340
WOS:000215734000022,22146586
WOS:000216986700006,22146641
WOS:000420593500003,22148083
WOS:000420593500016,22148096
WOS:000211362600003,22149066
WOS:000216625300010,22149529
WOS:000212517600010,22150181
WOS:000215041000074,22152103
WOS:000421547400010,22153560
WOS:000217746800006,22156811
WOS:000217746800009,22156815
WOS:000217746800003,22156819
WOS:000410051800005,22156954
WOS:000217395100008,22157494
WOS:000410331400006,22159621
WOS:000213840800004,22162373
WOS:000213852900109,22162931
WOS:000213833800007,22162939
WOS:000213893000015,22163170
WOS:000218953700004,22163231
WOS:000218953700006,22163233
WOS:000215202800005,22164599
WOS:000215202800007,22164601
WOS:000209804900003,22166858
WOS:000209804900008,22166863
WOS:000209170300012,22169624
WOS:000219202700008,22171247
WOS:000219190100012,22171294
WOS:000219207400009,22171304
WOS:000213205300009,22171771
WOS:000213205300015,22171777
WOS:000420936200010,22172123
WOS:000420933400013,22172125
WOS:000416354000013,22172361
WOS:000216963100007,22174462
WOS:000216963100020,22174475
WOS:000218801300008,22174499
WOS:000215560900015,22174567
WOS:000215666100016,22174589
WOS:000214060400001,22174958
WOS:000214060400010,22174967
WOS:000420937600002,22176862
WOS:000421334900009,22177421
WOS:000214164800004,22182302
WOS:000214598000006,22183767
WOS:000219237000050,22184522
WOS:000218563100001,22185439
WOS:000218563100014,22185448
WOS:000216227500001,22187615
WOS:000216228500001,22187620
WOS:000420967300009,22188627
WOS:000410358500004,22189851
WOS:000219406400021,22190787
WOS:000219406400023,22190789
WOS:000420230100010,22190882
WOS:000214929400005,22191650
WOS:000420937600019,22192510
WOS:000210605200005,22194185
WOS:000215612700024,22194734
WOS:000218277300006,22195265
WOS:000218277300011,22195270
WOS:000213676600002,22196419
WOS:000213676600005,22196422
WOS:000213676600011,22196428
WOS:000213676600018,22196435
WOS:000213676600020,22196437
WOS:000218470700009,22199047
WOS:000219320400009,22200002
WOS:000214930200008,22201713
WOS:000214930700009,22202158
WOS:000213959900007,22204657
WOS:000217444600003,22207427
WOS:000217444600010,22207434
WOS:000219403900001,22207566
WOS:000416668100025,22207887
WOS:000214375100001,22211118
WOS:000214375100010,22211127
WOS:000214375100017,22211134
WOS:000219245800011,22219589
WOS:000420594600006,22220224
WOS:000420594600010,22220228
WOS:000219752300030,22220266
WOS:000209654700001,22221427
WOS:000210465700002,22221586
WOS:000213368300003,22222288
WOS:000219073400009,22223997
WOS:000219073400011,22223999
WOS:000219073400016,22224004
WOS:000219480800003,22224033
WOS:000219480800010,22224040
WOS:000212982900008,22225890
WOS:000219003800013,22228558
WOS:000410359700007,22231165
WOS:000421298600003,22233303
WOS:000422227500001,22233310
WOS:000421298600015,22233316
WOS:000213844900011,22233950
WOS:000213844900017,22233956
WOS:000219121500006,22237215
WOS:000421297100018,22237578
WOS:000217593300006,22237738
WOS:000421289400002,22238715
WOS:000421289400006,22238719
WOS:000420643600001,22238722
WOS:000420643600003,22238724
WOS:000214427600009,22240635
WOS:000420144500010,22242099
WOS:000212552800002,22242778
WOS:000213893100047,22247618
WOS:000214356100051,22247627
WOS:000219181800004,22247827
WOS:000219181800014,22247836
WOS:000219184200007,22247843
WOS:000219184200014,22247850
WOS:000219188300008,22247881
WOS:000213915700026,22253543
WOS:000218993300003,22254182
WOS:000218994400006,22254203
WOS:000421535500006,22257806
WOS:000421535500020,22257820
WOS:000219161500001,22259646
WOS:000408908000006,22259714
WOS:000219324100003,22266246
WOS:000213584500001,22267256
WOS:000215816800287,22267908
WOS:000215816800290,22267911
WOS:000213852900116,22267933
WOS:000421291300008,22269885
WOS:000218630000004,22275349
WOS:000215836800005,22275956
WOS:000215837100021,22275978
WOS:000215837100028,22275985
WOS:000215838400010,22276034
WOS:000215838400014,22276038
WOS:000409036900011,22276445
WOS:000409036900018,22276452
WOS:000409036900035,22276469
WOS:000421712700009,22279284
WOS:000218598100005,22279309
WOS:000218598100017,22279321
WOS:000218598100021,22279325
WOS:000218598100026,22279330
WOS:000214934800004,22280110
